group_type,group_value,cases_total,cases_known_truth,cases_urgent,baseline_triage_accuracy,baseline_triaged_cases,baseline_triaged_case_fraction,baseline_urgent_recall,baseline_urgency_miss_rate,baseline_urgent_deferral_rate,baseline_retake_rate,baseline_mean_latency,baseline_mean_token_usage,quality_gated_triage_accuracy,quality_gated_triaged_cases,quality_gated_triaged_case_fraction,quality_gated_urgent_recall,quality_gated_urgency_miss_rate,quality_gated_urgent_deferral_rate,quality_gated_retake_rate,quality_gated_mean_latency,quality_gated_mean_token_usage
diagnosis,all,4800,4800,1230,0.4011252344238383,4799,0.9997916666666666,0.7317073170731707,0.2682926829268293,0.0,0.0,2.0375048680625576,349.7427083333333,0.3923734111273182,4799,0.9997916666666666,0.7585365853658537,0.06341463414634146,0.17804878048780487,0.18916666666666668,2.0375048680625576,349.7427083333333
diagnosis,akiec,90,90,0,0.4888888888888889,90,1.0,,,,0.0,2.261775898889593,370.5444444444444,0.45555555555555555,90,1.0,,,,0.2222222222222222,2.261775898889593,370.5444444444444
diagnosis,basal cell carcinoma,848,848,848,0.6945754716981132,848,1.0,0.6945754716981132,0.30542452830188677,0.0,0.0,1.9580880192218861,343.6957547169811,0.7169811320754716,848,1.0,0.7169811320754716,0.11202830188679246,0.17099056603773585,0.17099056603773585,1.9580880192218861,343.6957547169811
diagnosis,bcc,108,108,108,0.6574074074074074,108,1.0,0.6574074074074074,0.3425925925925926,0.0,0.0,1.9037374861115866,345.26851851851853,0.6574074074074074,108,1.0,0.6574074074074074,0.2037037037037037,0.1388888888888889,0.1388888888888889,1.9037374861115866,345.26851851851853
diagnosis,bkl,294,294,0,0.30612244897959184,294,1.0,,,,0.0,2.258209614625106,366.76190476190476,0.2789115646258503,294,1.0,,,,0.19387755102040816,2.258209614625106,366.76190476190476
diagnosis,blue nevus,504,504,0,0.3115079365079365,504,1.0,,,,0.0,2.0715954978175084,350.9424603174603,0.29365079365079366,504,1.0,,,,0.19642857142857142,2.0715954978175084,350.9424603174603
diagnosis,clark nevus,978,978,0,0.3029682702149437,977,0.9989775051124744,,,,0.0,2.038455327607454,350.70245398773005,0.300921187308086,977,0.9989775051124744,,,,0.18302658486707565,2.038455327607454,350.70245398773005
diagnosis,combined nevus,12,12,0,0.16666666666666666,12,1.0,,,,0.0,7.941715358333265,378.3333333333333,0.08333333333333333,12,1.0,,,,0.16666666666666666,7.941715358333265,378.3333333333333
diagnosis,congenital nevus,24,24,0,0.0,24,1.0,,,,0.0,1.952899791670158,357.3333333333333,0.0,24,1.0,,,,0.16666666666666666,1.952899791670158,357.3333333333333
diagnosis,dermal nevus,34,34,0,0.5882352941176471,34,1.0,,,,0.0,1.8957224941178163,322.47058823529414,0.6176470588235294,34,1.0,,,,0.14705882352941177,1.8957224941178163,322.47058823529414
diagnosis,df,22,22,0,0.5454545454545454,22,1.0,,,,0.0,2.310794581817225,398.72727272727275,0.45454545454545453,22,1.0,,,,0.13636363636363635,2.310794581817225,398.72727272727275
diagnosis,mel,274,274,274,0.8759124087591241,274,1.0,0.8759124087591241,0.12408759124087591,0.0,0.0,1.9201875722616142,343.0839416058394,0.927007299270073,274,1.0,0.927007299270073,0.0,0.21532846715328466,0.21532846715328466,1.9201875722616142,343.0839416058394
diagnosis,nv,1574,1574,0,0.2496823379923761,1574,1.0,,,,0.0,2.0045416487295786,348.5972045743329,0.2204574332909784,1574,1.0,,,,0.19695044472681067,2.0045416487295786,348.5972045743329
diagnosis,vasc,38,38,0,0.2894736842105263,38,1.0,,,,0.0,1.8434737947368136,353.5263157894737,0.15789473684210525,38,1.0,,,,0.2631578947368421,1.8434737947368136,353.5263157894737
